jnspemda,kodefungsi,fungsi,kodesubfungsi,subfungsi,kodeurusan,urusan/unsur,kodebidang,uraibidang,kodeprogram,uraiprogram,kodekegiatan,uraikegiatan,kodesubkegiatan,uraisubkegiatan,kinerja,indikator,satuan
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",X.XX.01.2.01.01,Penyusunan Dokumen Perencanaan Perangkat Daerah,Tersusunnya Dokumen Perencanaan Perangkat Daerah,Jumlah Dokumen Perencanaan Perangkat Daerah ,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",X.XX.01.2.01.02,Koordinasi dan Penyusunan Dokumen RKA-SKPD,Tersedianya Dokumen RKA-SKPD dan Laporan Hasil Koordinasi Penyusunan Dokumen RKA-SKPD,Jumlah Dokumen RKA-SKPD dan Laporan Hasil Koordinasi Penyusunan Dokumen RKA-SKPD,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",X.XX.01.2.01.03,Koordinasi dan Penyusunan Dokumen Perubahan RKA-SKPD,Tersedianya Dokumen Perubahan RKA-SKPD dan Laporan Hasil Koordinasi Penyusunan Dokumen Perubahan RKA-SKPD,Jumlah Dokumen Perubahan RKA-SKPD dan Laporan Hasil Koordinasi Penyusunan Dokumen Perubahan RKA-SKPD,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",X.XX.01.2.01.04,Koordinasi dan Penyusunan DPA-SKPD,Tersedianya Dokumen DPA-SKPD dan Laporan Hasil Koordinasi Penyusunan Dokumen DPA-SKPD,Jumlah Dokumen DPA-SKPD dan Laporan Hasil Koordinasi Penyusunan Dokumen DPA-SKPD,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",X.XX.01.2.01.05,Koordinasi dan Penyusunan Perubahan DPA- SKPD,Tersedianya Dokumen Perubahan DPA-SKPD dan Laporan Hasil Koordinasi Penyusunan Dokumen Perubahan DPA-SKPD,Jumlah Dokumen Perubahan DPA-SKPD dan Laporan Hasil Koordinasi Penyusunan Dokumen Perubahan DPA-SKPD,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",X.XX.01.2.01.06,Koordinasi dan Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,Tersedianya Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD dan Laporan Hasil Koordinasi Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,Jumlah Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD dan Laporan Hasil Koordinasi Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD,Laporan
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",X.XX.01.2.01.07,Evaluasi Kinerja Perangkat Daerah,Terlaksananya Evaluasi Kinerja Perangkat Daerah,Jumlah Laporan Evaluasi Kinerja Perangkat Daerah,Laporan
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.02,Administrasi Keuangan Perangkat Daerah,X.XX.01.2.02.01,Penyediaan Gaji dan Tunjangan ASN,Tersedianya Gaji dan Tunjangan ASN,Jumlah Orang yang Menerima Gaji dan Tunjangan ASN,Orang/bulan
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.02,Administrasi Keuangan Perangkat Daerah,X.XX.01.2.02.02,Penyediaan Administrasi Pelaksanaan Tugas ASN,Tersedianya Administrasi Pelaksanaan Tugas ASN,Jumlah Dokumen Hasil Penyediaan Administrasi Pelaksanaan Tugas ASN,Dokumen
KABKOT,01,PELAYANAN UMUM,01,"Lembaga Eksekutif dan Legislatif, Keuangan dan Fiskal, serta Urusan Luar Negeri",X,,X.XX,URUSAN PEMERINTAHAN BIDANG XX,X.XX.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,X.XX.01.2.02,Administrasi Keuangan Perangkat Daerah,X.XX.01.2.02.03,"Pelaksanaan Penatausahaan dan

Pengujian/Verifikasi Keuangan SKPD",Terlaksananya Penatausahaan dan Pengujian/Verifikasi Keuangan SKPD,Jumlah Dokumen Penatausahaan dan Pengujian/Verifikasi Keuangan SKPD,Dokumen
